State,State Abbreviation,Total Population,Black Population,Hispanic Population,Native American Population,Asian Population,Pacific Islander Population,White Population,Other Population,% African-American,% Victims Black,Disparity,# Black people killed,# Hispanic people killed,# Native American people killed,# Asian people killed,# Pacific Islanders killed,# White people killed,# Unknown Race people killed,# People Killed,Rate (Black People),Rate (Hispanic People),Rate (Native American People),Rate (Asian People),Rate (Pacific Islanders),Rate (White People),Rate (All People),Disparity in Rate,Black-White Disparity,Hispanic-White Disparity,Native American-White Disparity,AVG CRIME RATE(PER 100K)
Alabama,AL,4864680,1285737,203146,23243,63936,1521,3196730,90367,0.264300427,0.384057971,0.119757544,53,,,1,,74,10,138,5.888784854,0,0,2.234377234,0,3.306950719,4.052534949,1.45311143,1.780729546,0,0,3477.1
Alaska,AK,738516,22817,51186,103506,45617,8544,450754,56092,0.030895742,0.1,0.069104258,4,1,12,,,18,5,40,25.0439835,2.79094172,16.56218687,0,0,5.704727127,7.737524596,3.23669194,4.390040564,0.489233167,2.903239104,3941.8
Arizona,AZ,6946685,286614,2163312,271946,222477,12523,3825886,163927,0.041259104,0.090909091,0.049649987,31,115,14,,,142,39,341,15.45134372,7.594175703,7.354401241,0,0,5.302226539,7.012594599,2.20337045,2.914123643,1.432261645,1.387040178,3391.7
Arkansas,AR,2990671,458536,219052,17342,43441,7877,2173849,70574,0.153322114,0.298076923,0.144754809,31,3,,1,,60,9,104,9.658067041,1.956482609,0,3.288532558,0,3.942973303,4.967829245,1.944122184,2.449437594,0.496194739,0,3744
California,CA,39148760,2164519,15221577,138427,5525439,138911,14695836,1264051,0.055289593,0.158608991,0.103319398,187,487,7,44,9,337,108,1179,12.341904,4.570579551,7.224024215,1.137595454,9.255669355,3.275952259,4.302270913,2.86869522,3.767424867,1.395191135,2.205167733,2929.7
Colorado,CO,5531141,216732,1184794,30131,169556,7480,3778212,144236,0.039183959,0.0969163,0.057732341,22,70,5,4,,103,23,227,14.50112186,8.440285822,23.70600758,3.370146568,0,3.894510344,5.86290811,2.47336673,3.723477557,2.167226449,6.087031612,3003.4
Connecticut,CT,3581504,351817,561791,5320,157406,752,2418696,85722,0.098231637,0.194444444,0.096212808,7,6,,1,,19,3,36,2.842386809,1.525732625,0,0.90757114,0,1.122210362,1.435949016,1.97944828,2.532846697,1.359578094,0,1998.4
Delaware,DE,949495,204665,86315,2851,36464,276,595623,23301,0.215551425,0.45,0.234448575,9,,,,,8,3,20,6.282042781,0,0,0,0,1.918759254,3.009118381,2.087668874,3.274013021,0,0,3130.6
District of Columbia,DC,684498,315281,74776,1314,26278,280,248057,18512,0.460601784,0.884615385,0.424013601,23,,,,,1,2,26,10.42154232,0,0,0,0,0.575904501,5.426291551,1.92056439,18.09595567,0,0,5781.9
Florida,FL,20598139,3167011,5184720,41776,548642,10770,11196857,448363,0.153752288,0.313543599,0.159791311,169,76,,6,,244,44,539,7.623231224,2.094065419,0,1.562299017,0,3.113118517,3.738201786,2.039277615,2.4487443,0.672658431,0,3067.7
Georgia,GA,10297484,3195363,968463,18416,399223,5070,5476441,234508,0.310305216,0.373584906,0.063279689,99,13,,3,,113,37,265,4.42605649,1.917618801,0,1.073513872,0,2.947691236,3.676348791,1.20392725,1.50153328,0.650549412,0,3330.7
Hawaii,HI,1422029,24472,147962,1877,522731,132583,314536,277868,0.017209213,0.027027027,0.009817814,1,4,,2,22,5,3,37,5.837575305,3.861995454,0,0.546579954,23.70482749,2.270918796,3.71702285,1.570497557,2.57057862,1.700631243,0,3290.6
Idaho,ID,1687809,10739,209073,18775,22809,2348,1387654,36411,0.006362687,0.020833333,0.014470647,1,6,2,,,36,3,48,13.30264856,4.099730033,15.21780483,0,0,3.706152357,4.062748129,3.274298119,3.589342066,1.106195763,4.106092617,1879.7
Illinois,IL,12821497,1796057,2174842,15037,685343,3088,7894286,252844,0.140081692,0.53038674,0.390305048,96,21,,1,,49,14,181,7.635774207,1.37941055,0,0.208446198,0,0.886717304,2.016702329,3.786267362,8.611283631,1.555637342,0,2438.6
Indiana,IN,6637426,610343,450267,12125,143883,2133,5275162,143513,0.091954773,0.322580645,0.230625872,40,6,,,,72,6,124,9.362417058,1.903632416,0,0,0,1.949838561,2.668848694,3.50803591,4.801637039,0.976302579,0,2807.4
Iowa,IA,3132499,107471,183296,9067,74640,2863,2695888,59274,0.034308391,0.133333333,0.099024942,6,2,,,,33,4,45,7.975573477,1.558758978,0,0,0,1.748694944,2.05221819,3.88631848,4.560871812,0.891384163,0,2287.6
Kansas,KS,2908776,163713,340616,19504,82887,1827,2214543,85686,0.056282436,0.150684932,0.094402495,11,8,,,,49,5,73,9.598679222,3.355265586,0,0,0,3.160923044,3.585209528,2.677299373,3.036669697,1.061482845,0,3084.6
Kentucky,KY,4440204,349407,158744,8498,62432,2339,3764082,94702,0.078691655,0.158333333,0.079641679,19,3,0,1,,86,11,120,7.768263699,2.699764581,0,2.288203852,0,3.263933752,3.860826472,2.01207274,2.380031057,0.827150545,0,2375.9
Louisiana,LA,4663616,1492230,234920,24014,79137,1154,2744265,87896,0.319972742,0.547297297,0.227324555,81,5,,4,,50,8,148,7.754453785,3.040548758,0,7.220750994,0,2.602830682,4.533575908,1.710449751,2.979238656,1.168170015,0,3890.6
Maine,ME,1332813,16990,21421,7722,14814,258,1244525,27083,0.012747475,0.032258065,0.01951059,1,1,,,,27,2,31,8.408307408,6.669023055,0,0,0,3.099289172,3.322725265,2.530545482,2.712979312,2.151791164,0,1818.9
Maryland,MD,6003435,1759438,588912,10949,371981,2265,3084868,185022,0.293071883,0.625,0.331928117,80,6,,,,33,9,128,6.495580651,1.455468486,0,0,0,1.5281969,3.045875284,2.132582606,4.250486734,0.952409003,0,2764.6
Massachusetts,MA,6830193,463796,789127,8890,440336,1698,4930412,195934,0.067903791,0.272727273,0.204823481,15,10,,1,,25,4,55,4.620257921,1.810318781,0,0.32442758,0,0.724367167,1.150354442,4.016377694,6.378337027,2.499172883,0,1946.4
Michigan,MI,9957488,1360345,497897,45772,303059,2464,7489371,258580,0.136615279,0.336065574,0.199450295,41,4,,2,1,58,16,122,4.305630452,1.147684303,0,0.942767863,57.97773655,1.106329795,1.75029801,2.459941352,3.891814602,1.03737991,0,2337
Minnesota,MN,5527358,336505,292764,53168,260797,1799,4438071,144254,0.0608799,0.214285714,0.153405815,18,4,5,7,,50,,84,7.641576118,1.951840293,13.43450411,3.834399936,0,1.60945085,2.171019138,3.519810574,4.747940031,1.212736812,8.34725963,2427.3
Mississippi,MS,2988762,1121752,90493,12990,28170,654,1696952,37751,0.375323294,0.388888889,0.013565594,42,1,1,1,,53,10,108,5.348775844,1.578654071,10.99747058,5.071251078,0,4.461781224,5.162194724,1.036143758,1.198798322,0.353817005,2.464816187,2956.1
Missouri,MO,6090062,699730,249105,23566,115311,6037,4848330,147983,0.114897024,0.37755102,0.262653996,74,5,,,2,95,20,196,15.10786814,2.867408178,0,0,47.32719657,2.799196542,4.597654342,3.285994773,5.397215919,1.024368291,0,3323.6
Montana,MT,1041732,4348,39019,64643,7806,706,898953,26257,0.004173818,0,-0.004173818,,1,5,,,30,4,40,0,3.661219992,11.04969934,0,0,4.767450896,5.485370243,0,0,0.767961762,2.317737419,2887.1
Nebraska,NE,1904760,88442,203281,13918,43839,1091,1512314,41875,0.046432096,0.222222222,0.175790126,8,3,2,,,22,1,36,12.92210876,2.108270958,20.52840104,0,0,2.078177642,2.7000027,4.785961421,6.218000086,1.014480627,9.878078094,2584.1
Nevada,NV,2922849,249967,831597,26355,229928,17703,1458093,109206,0.085521695,0.173553719,0.088032024,21,30,2,2,,57,9,121,12.00158421,5.153595174,10.84098978,1.242625021,0,5.58459381,5.913994971,2.029353131,2.149052306,0.922823637,1.941231565,3190.4
New Hampshire,NH,1343622,17622,48356,1838,35848,270,1214547,25141,0.013115296,0,-0.013115296,,1,,,,16,,17,0,2.954279569,0,0,0,1.88194799,1.807481143,0,0,1.569798732,0,1808.3
New Jersey,NJ,8881845,1129257,1768020,9599,826944,2255,4960005,185765,0.127142165,0.495145631,0.368003466,51,14,,1,,26,11,103,6.451776952,1.131208923,0,0.172753104,0,0.748847171,1.65666995,3.894425049,8.615612369,1.510600515,0,1829.7
New Mexico,NM,2092434,38016,1015751,183408,29571,1046,788308,36334,0.018168315,0.028169014,0.010000699,4,78,6,1,,43,10,142,15.03126503,10.97006761,4.673421318,4.830987889,0,7.792458205,9.694792899,1.550447254,1.928950356,1.407780102,0.599736463,4344.4
New York,NY,19618453,2808679,3705588,46139,1616028,5591,10959534,476894,0.143165162,0.458064516,0.314899354,71,19,,1,,53,11,155,3.611255378,0.732484484,0,0.088400166,0,0.690853149,1.128674985,3.19955295,5.227240239,1.060260759,0,1944.1
North Carolina,NC,10155624,2146254,935950,111360,280059,5677,6433039,243285,0.211336497,0.379310345,0.167973848,77,9,1,1,1,103,11,203,5.125208852,1.373699755,1.282840722,0.510096597,25.16419638,2.287299318,2.855560623,1.794817035,2.240725039,0.600577172,0.560853891,3033.6
North Dakota,ND,752201,20113,26529,38308,10664,366,639477,16744,0.026738864,0,-0.026738864,,,4,,,7,,11,0,0,14.91669028,0,0,1.5637779,2.089107262,0,0,0,9.538880353,2435.4
Ohio,OH,11641879,1418048,431327,17723,247987,3055,9220638,303101,0.121805767,0.384976526,0.263170759,82,2,,4,,116,9,213,8.260852746,0.662407607,0,2.304268254,0,1.797210624,2.613716517,3.160577168,4.596485596,0.36857539,0,2804
Oklahoma,OK,3918137,282622,407521,280638,82318,3982,2586110,274946,0.07213173,0.238317757,0.166186027,51,18,12,2,1,126,4,214,25.77900618,6.309928989,6.108530257,3.470860392,35.87572648,6.960260778,7.802542017,3.303924045,3.703741427,0.906565025,0.87762951,3407.1
Oregon,OR,4081943,74356,523956,36776,172505,15301,3103557,155492,0.018215835,0.081081081,0.062865246,9,9,,,,86,7,111,17.29133205,2.453859266,0,0,0,3.958591476,3.884704626,4.451131736,4.368051655,0.619881915,0,3246.3
Pennsylvania,PA,12791181,1360576,905156,14419,424597,2702,9826865,256866,0.106368286,0.339285714,0.232917428,57,10,1,1,,78,21,168,5.984860194,1.578259912,9.907562442,0.336453491,0,1.1339178,1.876292736,3.18972625,5.278037079,1.391864482,8.7374609,2041.4
Rhode Island,RI,1056611,59001,158858,3708,35128,684,767727,31505,0.05583985,0.5,0.44416015,3,1,,,,2,,6,7.263799403,0.899275723,0,0,0,0.372156099,0.811218942,8.954178743,19.51815223,2.416393886,0,2144.7
South Carolina,SC,4955925,1328352,275685,14187,74278,2812,3156973,103638,0.268033112,0.319327731,0.051294619,38,2,,2,,68,9,119,4.086696469,1.036379512,0,3.846553296,0,3.077088627,3.430237544,1.191374188,1.328104895,0.33680522,0,3774.6
South Dakota,SD,864289,15840,31995,72263,12540,236,710810,20605,0.018327203,0,-0.018327203,,1,9,1,,12,2,25,0,4.464983368,17.79215208,11.39211666,0,2.411735505,4.132215696,0,0,1.851356983,7.377323111,2259.3
Tennessee,TN,6651089,1107218,352402,15172,112015,3318,4924145,136819,0.166471686,0.230337079,0.063865393,41,5,,2,,116,14,178,5.289963546,2.02690596,0,2.550678799,0,3.365341307,3.82321924,1.383641171,1.57189511,0.602288379,0,3553.4
Texas,TX,27885195,3269253,10921556,68452,1292813,20381,11807263,505477,0.11723974,0.223628692,0.106388952,159,218,1,12,,259,62,711,6.947851914,2.851503682,2.086968136,1.326012126,0,3.133664423,3.642485863,1.907447874,2.217165266,0.909958214,0.665983288,3161.3
Utah,UT,3045350,33713,422123,28047,68747,26607,2394238,71875,0.01107032,0.098765432,0.087695112,8,13,2,,2,55,1,81,33.89959787,4.39953013,10.18698206,0,10.73831269,3.28168831,3.799703998,8.92164176,10.32992614,1.340630101,3.104189396,2987.6
Vermont,VT,624977,7602,11677,1867,10541,170,581023,12097,0.012163648,0,-0.012163648,,1,1,,,9,1,12,0,12.23406208,76.5169485,0,0,2.212845766,2.742958084,0,0,5.528655572,34.57852764,1744.4
Virginia,VA,8413774,1582421,771177,17747,526973,4740,5233111,277605,0.188075054,0.427419355,0.239344301,53,7,,1,,52,11,124,4.784711889,1.296719171,0,0.271090061,0,1.419532555,2.105391197,2.272599931,3.370624979,0.913483221,0,2046.7
Washington,WA,7294336,259482,911573,80274,602020,46476,5039208,355303,0.03557308,0.115207373,0.079634293,25,29,12,5,4,115,27,217,13.76368523,4.544734369,21.35542908,1.186481702,12.29513236,3.260149497,4.249872778,3.238611119,4.221795731,1.39402637,6.550444727,3612.4
West Virginia,WV,1829054,65597,27522,3546,14353,309,1684756,32971,0.035863895,0.148648649,0.112784754,11,,,1,,51,11,74,23.95579937,0,0,9.953120801,0,4.324492262,5.779724695,4.144799387,5.539563472,0,0,2228.4
Wisconsin,WI,5778394,361909,385779,46149,158198,1676,4711038,113645,0.062631416,0.243243243,0.180611827,27,8,5,4,,63,4,111,10.65776993,2.962465927,15.47781565,3.61210996,0,1.910407006,2.744212814,3.883725736,5.578795459,1.55069884,8.101841963,2163.5
Wyoming,WY,581836,5149,56966,12717,4660,434,489559,12351,0.008849573,0,-0.008849573,,2,2,,,12,3,19,0,5.015523044,22.46711376,0,0,3.501693798,4.665035705,0,0,1.432313427,6.416070352,2104.1
